Id;FirstName;LastName;Sex;DateOfBirth;Weight;Balance
9;ijgryklpvnzezghzczmqybvmfwwexlpfyzbqednkusdxqpb;nhspl;f;22.10.1953;117;769387041
10;aqvdokjaknbfypdkoxwjpfmgujnrigakxfmbpklqgycxewierrkvcrhbw;sqdmritaxeyfcicdyzrplcpyvsstpcooboqrtfsumllssnswedgrlc;m;20.07.1980;94;714147559
11;apadhptskddwbziasgcqtcvenvouxwpprbqkkgfeexgwayrlfextxtxgfo;cheekpgnummscahaonjpdppiaziewvijbyneshwpjcie;m;03.11.1990;104;1799878941
12;noxtnwzottmijeivyalxggbxqcqphvxfn;unkob;f;04.05.1967;76;637013493
13;uqehncooixbaddsoruhejjrooludevycpwzdaltgqq;amcqzuffwnpetookgmegwjdtdwvfhyzxdraptmbite;f;23.05.1999;89;2013855768
14;hkfxzztywdzkcdczxbnkqnvwqnipujkilkxvhi;zbydanjqv;f;17.09.1969;39;1522446429
15;ia;ohhpfhkfvzbhrcgikekwhzskwgsfjoyeyfpydgekiv;f;20.08.2009;98;1302891957
16;nv;avoitffnvaewtrp;f;22.03.1989;138;1259590542
17;oaefzwttilnicgbtimxhxwotqafaxvirtysjepfjouueqjqzdthkbse;nddgkatwwkvltoopukhhrjlxwrbmwzdynqbabsuf;f;23.02.2005;112;769838980
18;tsvteucfsjmdryaunblxujnrbgfzhtpctkqgyvpevzpdqctcbypzcekf;otrtgvktuanjaqko;f;16.08.1988;130;154695901
19;prwebqpxekmyjyvlckrsljwcdihdutwvlrgmutpakjrvchhabrmmocizwy;pvgyvhdtefhiiwkohtvva;m;26.10.1983;42;63734357
20;hbzmmxmejiyntblrefecoprfmveqfcslqjwaozqgadyow;tqcflcuzpcgprnngsckihnyrjksqnapfyymzofu;m;27.09.1961;85;1304283190
